order_id,customer_id,order_date,product,quantity,price,total_amount,status
O00000,C0892,2023/11/17,Phone,1,120000.0,120000.0,Returned
O00001,C0303,31-08-2023,Laptop,1,150000.0,150000.0,complete
O00002,C0911,06-09-2023,Laptop,-1,,,complete
O00003,C0603,19-10-2023,Laptop,3,500000.0,1500000.0,Completed
O00004,C0884,01-08-2023,Tablet,1,20000.0,20000.0,Returned
O00005,C0995,2023/09/20,Headphones,2,500000.0,1000000.0,Completed
O00006,C0864,23-10-2023,Laptop,3,20000.0,60000.0,Returned
O00007,C0239,2023/09/11,Tablet,-1,20000.0,-20000.0,Completed
O00008,C0330,2023/05/28,Phone,-1,120000.0,-120000.0,Returned
O00009,C0475,2023-09-17,Tablet,-1,150000.0,-150000.0,Pending
O00010,C0799,2023/08/02,Tablet,-1,150000.0,-150000.0,complete
O00011,C0578,2023/12/20,Laptop,-1,150000.0,-150000.0,complete
O00012,C0408,2023/03/22,Headphones,1,20000.0,20000.0,Returned
O00013,C0621,2023-05-01,Laptop,1,120000.0,120000.0,Pending
O00014,C0731,2023-12-13,Phone,1,500000.0,500000.0,Pending
O00015,C0881,2023/02/28,Phone,1,,,Returned
O00016,C0528,24-06-2023,Laptop,3,150000.0,450000.0,Completed
O00017,C0103,13-08-2023,Laptop,1,,,Completed
O00018,C1038,2023-02-23,Laptop,2,120000.0,240000.0,complete
O00019,C0598,29-12-2023,Headphones,1,150000.0,150000.0,Pending
O00020,C0685,2023-03-12,Phone,-1,20000.0,-20000.0,Completed
O00021,C0502,31-08-2023,Tablet,2,500000.0,1000000.0,Pending
O00022,C0762,01-08-2023,Phone,2,,300000.0,complete
O00023,C0282,08-08-2023,Headphones,-1,,300000.0,Completed
O00024,C0906,2023-03-16,Laptop,1,120000.0,120000.0,Pending
O00025,C0822,26-03-2023,Laptop,-1,500000.0,-500000.0,complete
O00026,C1176,2023/01/30,Tablet,-1,20000.0,-20000.0,Pending
O00027,C0642,2023-06-26,Tablet,2,20000.0,40000.0,Returned
O00028,C0420,2023/10/06,Headphones,3,20000.0,60000.0,complete
O00029,C0617,2023-02-13,Tablet,-1,150000.0,-150000.0,Pending
O00030,C0437,2023/02/17,Tablet,3,150000.0,450000.0,Completed
O00031,C0057,2023/10/04,Tablet,2,120000.0,240000.0,Returned
O00032,C1034,2023/02/26,Laptop,3,120000.0,360000.0,Pending
