shipment_id,order_id,ship_date,delivery_date,delivery_status,shipping_cost,weight
S00000,O01933,2023-11-01,2023-11-02,Delivered,4500.0,3kg
S00001,O01407,2023/07/31,,Returned,4000.0,1.5 KG
S00002,O02138,2023-01-08,2023-01-15,Returned,,2000g
S00003,O02211,2023-12-21,2023-12-28,Returned,4500.0,2kg
S00004,O02218,08-05-2023,09-05-2023,Delivered,5000.0,3kg
S00005,O00253,2023-01-17,2023-01-23,In Transit,4000.0,2kg
S00006,O00921,2023/10/20,30-10-2023,Delivered,4000.0,-1kg
S00007,O03327,04-11-2023,09-11-2023,Returned,,-1kg
S00008,O00407,17-06-2023,26-06-2023,Delivered,4500.0,-1kg
S00009,O02866,2023-01-05,08-01-2023,In Transit,4500.0,2kg
S00010,O03168,30-10-2023,2023-11-08,Returned,,2000g
S00011,O02112,24-02-2023,27-02-2023,Delivered,5000.0,2000g
S00012,O04601,13-10-2023,2023-10-15,In Transit,5000.0,2kg
S00013,O04649,13-09-2023,19-09-2023,Delivered,4000.0,-1kg
S00014,O04029,2023-10-08,14-10-2023,In Transit,4500.0,2kg
S00015,O02449,23-05-2023,2023-06-02,Returned,,-1kg
S00016,O05154,2023/01/10,11-01-2023,Delivered,5000.0,2000g
S00017,O01014,2023/04/27,06-05-2023,Delivered,,3kg
S00018,O02064,2023-11-13,21-11-2023,Delivered,4500.0,2kg
S00019,O03366,16-10-2023,2023-10-18,Delivered,,-1kg
S00020,O04415,2023-02-10,11-02-2023,Returned,5000.0,2000g
S00021,O01801,2023-08-07,2023/08/15,Delivered,,-1kg
S00022,O03367,23-02-2023,2023-03-01,In Transit,5000.0,2000g
S00023,O00309,2023-01-15,2023-01-22,Returned,,2000g
S00024,O00908,2023-12-30,31-12-2023,In Transit,4500.0,1.5 KG
S00025,O04152,26-05-2023,01-06-2023,Delivered,,-1kg
S00026,O03950,2023-01-24,2023/02/01,Delivered,4000.0,1.5 KG
S00027,O04532,30-04-2023,2023-05-02,Delivered,4000.0,2kg
S00028,O02968,2023/03/23,26-03-2023,Returned,,3kg
S00029,O01819,11-04-2023,2023/04/19,Delivered,5000.0,1.5 KG
S00030,O00368,26-06-2023,2023/07/01,In Transit,,3kg
S00031,O04369,2023-10-04,,Returned,4000.0,2000g
S00032,O03317,2023-03-08,,In Transit,5000.0,2kg
S00033,O04582,04-10-2023,,In Transit,5000.0,2kg
S00034,O03304,2023-11-29,,Returned,,1.5 KG
S00035,O03749,01-02-2023,2023/02/07,In Transit,5000.0,2000g
S00036,O01009,2023-07-20,27-07-2023,Returned,,1.5 KG
S00037,O04690,2023/07/27,02-08-2023,Returned,4000.0,-1kg
S00038,O00445,09-03-2023,2023/03/13,In Transit,4000.0,1.5 KG
S00039,O00496,13-11-2023,,In Transit,4500.0,2kg
S00040,O04502,2023-01-11,2023/01/16,In Transit,,1.5 KG
S00041,O04578,2023-09-12,2023/09/21,In Transit,5000.0,2kg
S00042,O00416,24-11-2023,,In Transit,4500.0,3kg
S00043,O02352,2023-05-04,2023-05-14,Delivered,4500.0,-1kg
S00044,O00507,2023/04/26,2023/05/02,In Transit,5000.0,3kg
S00045,O04990,2023-12-23,31-12-2023,In Transit,4000.0,-1kg
S00046,O03055,16-11-2023,21-11-2023,Returned,5000.0,2000g
S00047,O04542,05-05-2023,,Delivered,4000.0,-1kg
S00048,O04339,23-10-2023,,In Transit,4500.0,2000g
S00049,O00930,2023-04-07,,In Transit,5000.0,2kg
S00050,O05105,07-10-2023,13-10-2023,In Transit,,1.5 KG
S00051,O04441,18-09-2023,2023-09-27,In Transit,4500.0,2kg
S00052,O03135,23-03-2023,2023-04-01,In Transit,4000.0,2000g
S00053,O02578,25-04-2023,,Returned,4000.0,3kg
S00054,O02955,2023-02-07,2023-02-13,Delivered,4500.0,1.5 KG
S00055,O02071,28-08-2023,,Returned,,2000g
S00056,O00110,2023/07/05,,Returned,5000.0,3kg
S00057,O05202,2023-05-17,,In Transit,5000.0,2000g
S00058,O00834,2023/03/07,,Delivered,,2000g
S00059,O05176,2023-01-22,28-01-2023,In Transit,4000.0,1.5 KG
S00060,O01261,2023-08-31,10-09-2023,Returned,4500.0,-1kg
S00061,O01852,2023-09-19,2023-09-29,Returned,4000.0,2000g
S00062,O01459,2023-04-15,22-04-2023,In Transit,4000.0,-1kg
S00063,O00371,13-08-2023,,Delivered,4000.0,-1kg
S00064,O01680,2023-11-09,2023-11-19,Returned,4500.0,3kg
S00065,O00569,18-10-2023,2023/10/25,In Transit,4000.0,-1kg
S00066,O02436,2023/04/17,2023/04/23,Delivered,5000.0,2000g
S00067,O02581,21-12-2023,26-12-2023,Returned,5000.0,2000g
S00068,O00259,06-10-2023,08-10-2023,Returned,4000.0,2kg
